,Model,RAM,Screen,Operating System,Storage,Type Storage,Speed,Price
0,Core i7 12th Generation  i7-1255U,8GB ,15.6INCHES,DOS,512GB SSD,SSD,up to 4.7 GHz,"211,999 - PKR"
1,Core i5 12th Generation i5-1235U,8GB ,15.6INCHES,DOS,512GB SSD,SSD,up to 4.0 GHz,"191,999 - PKR"
2,AMD Ryzen 7 5800H,16GB ,16 inches ,Windows 11,512GB,SSD,up to 4.4GHz,"252,999 - PKR"
3,Apple M1 Max chip,64GB  ,16.2 Inches,Mac OS,1TB SSD,SSD,NA,"839,999 - PKR"
4,AMD Ryzen 7 5800H Processor,16GB,15.6 inches,Windows 11,512GB SSD,SSD,NA,"344,999 - PKR"
5,Core i5 12th Generation i5-12500H,8GB,15.6 Inch,Windows 11,512GB ,SSD,up to 4.4GHz,"214,999 - PKR"
6,Core i5 12th Generation i5-12500H ,8GB  ,15.6 Inch,Windows 11,512GB ,SSD,up to 4.5 GHz,"221,999 - PKR"
7,Core i7 11th Generation  i7-11800H,8GB ,15.6INCHES,Windows 11,512GB,SSD,2.3 GHz Turbo Boost up to 4.6 GHz,"254,999 - PKR"
8,AMD Ryzen 7 5800H,16GB ,15.6INCHES,Windows 11,512GB,SSD,2.3 GHz Turbo Boost up to 4.6 GHz,"299,999 - PKR"
9,Core i5 11th Generation i5 11260H,16GB ,15.6INCHES,Windows 11,512GB,SSD,up to 4.5 GHz,"236,999 - PKR"
10,Core i5 11th Generation 11300H,8GB  ,15.6INCHES,Windows 11,512GB,SSD,up to 4.6 GHz,"209,999 - PKR"
11,Core i7 12th Generation i7-12700H,16GB  ,16 inches ,Windows 11,1 TB,SSD,up to 4.7 GHz,"334,999 - PKR"
12,Core i7 11th Generation i7-11800H ,16GB  ,16 inches ,Windows 10,512GB ,SSD,up to 4.6 GHz,"304,999 - PKR"
13,Core i5 11th Generation i5-11400H ,16GB  ,16 inches ,Windows 10,512GB ,SSD,up to 4.5 GHz,"238,999 - PKR"
14,Core i7 11th Generation i7-11800H ,16GB  ,16 inches ,Windows 10,512GB ,SSD,up to 4.6 GHz,"269,999 - PKR"
15,AMD Ryzen 5 5700U,8GB,15.6 Inch,Windows 11,512GB ,SSD,up to 4.1 GHz,"133,999 - PKR"
16,AMD Ryzen 5 5500U,8GB,15.6 Inch,Windows 11,512GB ,SSD,up to 4.0 GHz,"113,999 - PKR"
17,AMD Ryzen 3 3300U,8GB,15.6 Inch,DOS,256GB ,SSD,up to 3.5 GHz,"94,499 - PKR"
18,Core i7 12th Generation  i7-1255U,8GB,15.6 Inch,DOS,512GB ,SSD,up to 4.4 GHz,"184,999 - PKR"
19,Core i5 12th Generation  i5-1235U,8GB,15.6 Inch,DOS,512GB ,SSD,up to 4.4 GHz,"161,999 - PKR"
20,Core  i5 12th Generation  i5-1235U,8GB,15.6 Inch,DOS,512GB ,SSD,up to 4.40 GHz,"122,999 - PKR"
21,Core  i5 12th Generation  i5-1235U,8GB,15.6 Inch,DOS,512GB ,SSD,up to 4.40 GHz,"121,999 - PKR"
22,AMD Ryzen 5 5500U,8GB,15.6 Inch,Windows 11,512GB ,SSD,up to 4.0 GHz,"139,999 - PKR"
23,Core i3 11th Generation  i3-1115G4,8GB ,15.6 inch ,DOS,256GB,SSD,up to 4.1 GHz,"87,999 - PKR"
